,dt,my_team,oppo_team,守備,選手,打数,得点,安打,打点,盗塁,1,2,3,4,5,6,7,8,9,10,11,12,
0,2024-03-29,阪神タイガース,読売ジャイアンツ,(中),71075138,4,0,1,0,0,遊　飛,-,右前安,-,右　飛,-,-,遊ゴ失,-,,,,
1,2024-03-29,阪神タイガース,読売ジャイアンツ,(二),41445153,4,0,2,0,0,右前安,-,捕バ安,-,-,左　飛,-,中　飛,-,,,,
2,2024-03-29,阪神タイガース,読売ジャイアンツ,(右),43145157,3,0,0,0,0,三　振,-,右　飛,-,-,四　球,-,二　飛,-,,,,
3,2024-03-29,阪神タイガース,読売ジャイアンツ,(一),21325134,4,0,0,0,0,三　振,-,-,三　振,-,中　飛,-,-,三　振,,,,
4,2024-03-29,阪神タイガース,読売ジャイアンツ,(三),41045153,4,0,0,0,0,-,二ゴロ,-,三　振,-,三邪飛,-,-,三　振,,,,
5,2024-03-29,阪神タイガース,読売ジャイアンツ,(左),21825155,3,0,1,0,0,-,左前安,-,四　球,-,-,捕邪飛,-,振　逃,,,,
6,2024-03-29,阪神タイガース,読売ジャイアンツ,(捕),11915132,4,0,0,0,0,-,右　飛,-,中　飛,-,-,三　振,-,三ゴロ,,,,
7,2024-03-29,阪神タイガース,読売ジャイアンツ,(遊),31735138,3,0,0,0,0,-,右　飛,-,-,右　飛,-,三ゴロ,-,-,,,,
8,2024-03-29,阪神タイガース,読売ジャイアンツ,(投),71175132,2,0,0,0,0,-,-,左　飛,-,三　振,-,-,-,-,,,,
9,2024-03-29,阪神タイガース,読売ジャイアンツ,投,51055133,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
10,2024-03-29,阪神タイガース,読売ジャイアンツ,投,11315138,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
11,2024-03-29,阪神タイガース,読売ジャイアンツ,打,73975157,1,0,0,0,0,-,-,-,-,-,-,-,二ゴロ,-,,,,
12,2024-03-29,阪神タイガース,読売ジャイアンツ,投,21525139,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
0,2024-03-29,読売ジャイアンツ,阪神タイガース,(中),51955159,4,1,1,1,0,二ゴロ,-,投　安,-,遊野選①,-,二ゴロ,-,,,,,
1,2024-03-29,読売ジャイアンツ,阪神タイガース,(遊),11515157,3,0,1,0,0,左　飛,-,四　球,-,投ゴロ,-,中前安,-,,,,,
2,2024-03-29,読売ジャイアンツ,阪神タイガース,(右),61565114,4,1,1,2,0,三　振,-,三　振,-,右越本②,-,三併打,-,,,,,
3,2024-03-29,読売ジャイアンツ,阪神タイガース,(一),11515130,3,1,0,0,0,-,左　飛,-,右　飛,左　飛,-,-,死　球,,,,,
4,2024-03-29,読売ジャイアンツ,阪神タイガース,(三),51955114,4,0,1,0,0,-,三　振,-,三　振,-,中　飛,-,右前安,,,,,
5,2024-03-29,読売ジャイアンツ,阪神タイガース,(捕),21325136,4,0,1,0,0,-,一　飛,-,左前安,-,左　飛,-,遊　飛,,,,,
6,2024-03-29,読売ジャイアンツ,阪神タイガース,(左),21425116,4,0,3,1,0,-,-,右前安,一ゴロ,-,右前安,-,左前安①,,,,,
7,2024-03-29,読売ジャイアンツ,阪神タイガース,(二),73375134,4,1,2,0,0,-,-,二ゴロ,-,右越２,右前安,-,左　飛,,,,,
8,2024-03-29,読売ジャイアンツ,阪神タイガース,(投),41045138,2,0,0,0,0,-,-,三　振,-,投ゴロ,-,-,-,,,,,
9,2024-03-29,読売ジャイアンツ,阪神タイガース,打,91995131,1,0,0,0,0,-,-,-,-,-,遊ゴロ,-,-,,,,,
10,2024-03-29,読売ジャイアンツ,阪神タイガース,投,31635159,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
11,2024-03-29,読売ジャイアンツ,阪神タイガース,投,81285132,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
12,2024-03-29,読売ジャイアンツ,阪神タイガース,打,61165159,1,0,0,0,0,-,-,-,-,-,-,-,三　振,,,,,
13,2024-03-29,読売ジャイアンツ,阪神タイガース,投,81085155,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
0,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(中),83185153,3,0,0,0,0,三　振,三　振,-,三　直,-,-,-,-,-,,,,
1,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,打,93795157,1,1,1,0,0,-,-,-,-,-,-,三　安,-,-,,,,
2,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,投,01905136,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
3,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,投,61865157,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
4,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,投,51355134,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
5,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,打,61365132,1,0,1,0,0,-,-,-,-,-,-,-,-,左線２,,,,
6,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,走,03105157,0,1,0,0,0,-,-,-,-,-,-,-,-,-,,,,
7,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(二),21025157,3,1,1,0,0,右前安,-,右　飛,-,遊ゴロ,-,投犠打,-,四　球,,,,
8,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(三),91095135,5,0,3,2,0,左線２①,-,二ゴロ,-,三　振,-,右前安①,-,右前安,,,,
9,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(一),61065116,4,1,2,2,0,中　飛,-,三　振,-,左越本①,-,遊　安,-,左犠飛①,,,,
10,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(右),31835134,3,0,0,0,0,四　球,-,-,四　球,三　振,-,右　飛,-,二併打,,,,
